original_gene_id	renamed_gene_id
mRNA_L-elsbetiae_contig20.6010.1	c_organisms_00391
prot_L-elsbetiae_contig20.6010.1	c_organisms_00392
mRNA_L-elsbetiae_contig20.6011.1	c_organisms_00393
prot_L-elsbetiae_contig20.6011.1	c_organisms_00394
mRNA_L-elsbetiae_contig21.6349.1	c_organisms_00395
prot_L-elsbetiae_contig21.6349.1	c_organisms_00396
mRNA_L-elsbetiae_contig21.6350.1	c_organisms_00397
prot_L-elsbetiae_contig21.6350.1	c_organisms_00398
mRNA_L-elsbetiae_contig21.6351.1	c_organisms_00399
prot_L-elsbetiae_contig21.6351.1	c_organisms_00400
mRNA_L-elsbetiae_contig21.6352.1	c_organisms_00401
prot_L-elsbetiae_contig21.6352.1	c_organisms_00402
mRNA_L-elsbetiae_contig21.6353.1	c_organisms_00403
prot_L-elsbetiae_contig21.6353.1	c_organisms_00404
mRNA_L-elsbetiae_contig21.6354.1	c_organisms_00405
prot_L-elsbetiae_contig21.6354.1	c_organisms_00406
mRNA_L-elsbetiae_contig21.6355.1	c_organisms_00407
prot_L-elsbetiae_contig21.6355.1	c_organisms_00408
mRNA_L-elsbetiae_contig21.6356.1	c_organisms_00409
prot_L-elsbetiae_contig21.6356.1	c_organisms_00410
mRNA_L-elsbetiae_contig22.6752.1	c_organisms_00411
prot_L-elsbetiae_contig22.6752.1	c_organisms_00412
mRNA_L-elsbetiae_contig22.6753.1	c_organisms_00413
prot_L-elsbetiae_contig22.6753.1	c_organisms_00414
mRNA_L-elsbetiae_contig22.6754.1	c_organisms_00415
prot_L-elsbetiae_contig22.6754.1	c_organisms_00416
mRNA_L-elsbetiae_contig22.6755.1	c_organisms_00417
prot_L-elsbetiae_contig22.6755.1	c_organisms_00418
mRNA_L-elsbetiae_contig23.7083.1	c_organisms_00419
prot_L-elsbetiae_contig23.7083.1	c_organisms_00420
mRNA_L-elsbetiae_contig23.7084.1	c_organisms_00421
prot_L-elsbetiae_contig23.7084.1	c_organisms_00422
mRNA_L-elsbetiae_contig23.7085.1	c_organisms_00423
prot_L-elsbetiae_contig23.7085.1	c_organisms_00424
mRNA_L-elsbetiae_contig23.7086.1	c_organisms_00425
prot_L-elsbetiae_contig23.7086.1	c_organisms_00426
mRNA_L-elsbetiae_contig23.7087.1	c_organisms_00427
prot_L-elsbetiae_contig23.7087.1	c_organisms_00428
mRNA_L-elsbetiae_contig23.7088.1	c_organisms_00429
prot_L-elsbetiae_contig23.7088.1	c_organisms_00430
mRNA_L-elsbetiae_contig24.7390.1	c_organisms_00431
prot_L-elsbetiae_contig24.7390.1	c_organisms_00432
mRNA_L-elsbetiae_contig24.7391.1	c_organisms_00433
prot_L-elsbetiae_contig24.7391.1	c_organisms_00434
mRNA_L-elsbetiae_contig24.7392.1	c_organisms_00435
prot_L-elsbetiae_contig24.7392.1	c_organisms_00436
mRNA_L-elsbetiae_contig24.7393.1	c_organisms_00437
prot_L-elsbetiae_contig24.7393.1	c_organisms_00438
mRNA_L-elsbetiae_contig24.7394.1	c_organisms_00439
prot_L-elsbetiae_contig24.7394.1	c_organisms_00440
mRNA_L-elsbetiae_contig24.7395.1	c_organisms_00441
prot_L-elsbetiae_contig24.7395.1	c_organisms_00442
mRNA_L-elsbetiae_contig24.7396.1	c_organisms_00443
prot_L-elsbetiae_contig24.7396.1	c_organisms_00444
mRNA_L-elsbetiae_contig24.7397.1	c_organisms_00445
prot_L-elsbetiae_contig24.7397.1	c_organisms_00446
mRNA_L-elsbetiae_contig24.7398.1	c_organisms_00447
prot_L-elsbetiae_contig24.7398.1	c_organisms_00448
mRNA_L-elsbetiae_contig24.7399.1	c_organisms_00449
prot_L-elsbetiae_contig24.7399.1	c_organisms_00450
